Country,Class,Region,SR_2016,SR_2015,SR_2010,SR_2005,SR_CHG_1015,SR_p_CHG,M_2016,M_2015,M_2010,M_2005,F_2016,F_2015,F_2010,F_2005,Alc_2016,Alc_2015,Alc_2014,Alc_2013,Alc_2012,Alc_2011,Alc_2010,Alc_2009,Alc_2008,Alc_2007,Alc_2006,Alc_2005,Alc_Chg_1015,Alc_p_Chg,Heavy_ttl_2016,govt_exp_mental/health_2011,govt_exp_hosp/health_2011,govt_exp_mh,govt_exp_hosp,mh_legis,mh_plan,mh_policy,psychiatrist_2014,psychiatrist_2011,psychiatrist_chg,psychiatrist_p_chg,nurse_2014,nurse_2011,nurse_chg,nurse_p_chg,sowork_2014,sowork_2011,sowork_chg,sowork_p_chg,psychologist_2014,psychologist_2011,psychologist_chg,psychologist_p_chg,hosp_2011,outpatientfac_2011,daytreat_2011,communityres_2011,b_hosp_2011,b_outpatientfac_2011,b_daytreat_2011,b_communityres_2011,beds_gen_hosp_2014,beds_gen_hosp_2011,beds_gen_hosp_chg,beds_gen_hosp_p_chg,beds_comm_res_2014,beds_comm_res_2011,beds_comm_res_chg,beds_comm_res_p_chg,beds_mh_2014,beds_mh_2011,beds_mh_chg,beds_mh_p_chg,child_abuse_pgm_12-14,youth_viol_pvn_12-14,dom_abuse_12-14,sen_abuse_12-14,conf_alc_disorder_2014,conf_drug_disorder_2014,awr_binge_drinking,awr_dom_viol,awr_eld,awr_hiv,awr_work/sprts,awr_dd,awr_illalc,awr_indig,awr_preg,awr_harmother,awr_youthdrink,treat_sub_alt,treat_sub_add,treat_alc_alt,treat_alc_add,alc_policy_writ,alc_policy_before,alc_policy_during,alc_policy_rev,alc_policy_rev/add_during,che_2015,che_2011,che_2010,che_chg,che_p_chg,unemp_adv_2010,unemp_adv_2015,unemp_chg,unemp_p_chg,risk_impov_hc_2010,risk_impov_hc_2015,risk_impov_hc_chg,risk_impov_hc_p_chg,pop_2010,pop_2015,chg_pop,SR_act_2010,SR_act_2015,std_sr
Cabo Verde,LM,Sub-Saharan Africa,11.3,11,11.1,10.1,-0.1,-0.01,16.5,16.1,15.7,14.2,6.1,6.1,6.6,6.1,,4.12,3.88,3.53,4.98,5.06,4.73,4.45,4.18,5.32,4.3,4.38,-0.61,-0.128964059,41.9,,,,,0,1,0,,1.37,,,,2.93,,,,0.2,,,,3.51,,,0,4.68,,,0,1,1,1,,9.36,,,,,,, ,0,,,,,,,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,2016,0,0,,0,310.4,258,255.6,54.8,0.21,,,,,20.9,20,-0.9,-0.04,502384,532913,30529,55.764624,58.62043,
Cambodia,LM,East Asia & Pacific,5.3,5.3,5.4,5.9,-0.1,-0.02,7.8,7.8,7.8,8.3,2.9,2.9,3.2,3.6,3.5,3.32,3.04,2.78,2.5,2.38,2.14,1.41,1.34,1.28,1.17,1.1,1.18,0.551401869,37.3,,,,,0,1,1,,0.23,,,,0.8,,,,,,,,,,,0,0.42,0.01,0,0,1,1,0,0.07,0.1,-0.03,-0.3,0,0,0,,0,0,0,,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,2013,0,1,,1,209.6,199.5,171.3,38.3,0.22,,,,,,,,,14308740,15517635,1208895,772.67196,822.434655,0.981481481
Cameroon,LM,Sub-Saharan Africa,12.2,12.3,11.7,11.9,0.6,0.05,17.1,17.3,16.4,16.4,7.4,7.3,6.9,7.3,,6.5,6.71,6.67,6.35,6.12,6.17,6.08,5.57,5.33,5.26,5.2,0.33,0.053484603,47.4,0.26,0.43,26.234,43.387,0,0,0,,0.03,,,,0.15,,,,,,,,,,,0.01,0.05,,0.03,1,1,1,1,,0.05,,,,0.8,,, ,0.58,,,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,,0,0,,0,162.8,100.9,129.7,33.1,0.26,,,,,44.1,42.7,-1.4,-0.03,19970495,22834522,2864027,2336.547915,2808.646206,1.051282051
Canada,H,North America,12.5,12.5,13,13.2,-0.5,-0.04,18.1,18.2,19,19.5,7,7,7.1,6.9,8.2,8,8.1,8.2,8.3,8.2,8.4,8.4,8.3,8.3,8.2,8,-0.4,-0.047619048,32.9,7.2,,30411.36,,1,1,0,13.42,12.61,0.81,0.06,53.31,65,-11.69,-0.18,117.79,,,,47.42,46.56,0.86,0.02,,,,,1,1,1,1,,,,,,,,, ,31.38,,,2,2,2,2,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,,0,0,,0,4600.1,4223.8,4207.7,392.4,0.09,5.517499924,4.857999802,-0.659500122,-12%,0,0,0,,34005274,35832513,1827239,4420.68562,4479.064125,0.961538462
Central African Republic,L,Sub-Saharan Africa,7.7,8.1,9.5,8.8,-1.4,-0.15,11.5,11.9,13.9,13,4,4.3,5.1,4.8,,1.68,1.59,1.46,1.72,1.77,1.82,1.62,1.71,1.68,1.63,1.66,-0.14,-0.076923077,77.3,,,,,0,0,0,,0.02,,,,0.07,,,,0.04,,,,0.04,,,0,0.02,0,0,0,1,0,0,0.68,0.53,0.15,0.28,,0,,,0.71,0,0.71,,,,,,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1966,1,0,2016,0,31.9,34.8,33.1,-1.2,-0.04,,,,,,,,,4448525,4546100,97575,422.609875,368.2341,0.852631579
Chad,L,Sub-Saharan Africa,8.8,8.9,8.7,8.5,0.2,0.02,10.3,10.2,9.5,9.2,7.4,7.5,7.9,7.8,,0.69,0.68,0.63,0.63,0.6,0.55,0.5,0.49,0.45,0.44,0.43,0.14,0.254545455,34.8,,,,,0,1,0,,0.01,,,,0.03,,,,0.01,,,,0.01,,,0,0.01,0,0,0,1,0,0,,0.02,,,,0,,, ,0,,,,,,,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,,0,0,,0,99.8,73,76.8,23,0.3,,,,,55.8,53.5,-2.3,-0.04,11887202,14009413,2122211,1034.186574,1246.837757,1.022988506
Chile,H,Latin America & Caribbean,10.6,10.9,12.2,10.6,-1.3,-0.11,17.2,17.5,19.9,17.8,4,4.4,4.7,3.5,,7.89,7.92,7.23,8.35,7.02,7.55,7.67,7.31,7.39,7.33,7.57,0.34,0.045033113,32,2.78,0.12,3847.52,166.08,0,1,0,4.66,0.99,3.67,3.71,1.59,,,,2.18,,,,5.19,,,,0.02,0.79,0.26,1,1,1,1,1,5.82,2.57,3.25,1.26,9.13,8.33,0.8,0.1,6.55,2.16,4.39,2.03,,,,,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2010,0,1,2015,1,1903.1,1384,1243.7,659.4,0.53,7.129300117,5.125599861,-2.003700256,-28%,8,5.8,-2.2,-0.28,16993354,17762681,769327,2073.189188,1936.132229,0.893442623
China,UM,East Asia & Pacific,9.7,9.6,10.9,11.7,-1.3,-0.12,9.1,8.9,9.3,10.1,10.3,10.3,12.5,13.4,5.74,5.74,5.81,5.81,5.74,5.65,5.75,4.88,4.27,3.88,3.28,2.92,-0.01,-0.00173913,40.7,,,,,0,1,1,,1.53,,,,2.65,,,,,,,,0.18,,,0.06,,,,1,1,1,1,,1,,,,,,,16.77,13.72,3.05,0.22,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,,0,762.2,468.4,407,355.2,0.87,,,,,31.9,27.6,-4.3,-0.13,1337705000,1371220000,33515000,145809.845,131637.12,0.880733945
Colombia,UM,Latin America & Caribbean,7.2,8.3,7.2,6.7,1.1,0.15,11.6,13.4,11.7,10.5,2.8,3.3,2.7,3,4.46,4.43,4.3,4.33,4.35,4.29,4.21,4.26,4.36,4.56,4.44,4.27,0.22,0.052256532,39.9,,,,,,,,2.53,,,,,,,,,,,,10.74,,,,,,,,1,1,1,1,,,,,0,,,,8.72,,,,0,2,2,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2010,0,1,2016,1,852.8,683.1,656.2,196.6,0.3,13.75319958,11.82079983,-1.93239975,-14%,21.1,14.3,-6.8,-0.32,45918097,48228697,2310600,3306.102984,4002.981851,1.152777778
Comoros,L,Sub-Saharan Africa,6.8,6.8,6.6,6.5,0.2,0.03,9.9,9.9,9.7,9.4,3.6,3.6,3.4,3.6,,,,0.25,0.11,0.12,0.15,0.17,0.12,0.16,0.25,0.24,,,6.7,,,,,1,1,0,,0.14,,,,0.43,,,,0,,,,0,,,0,0,0.43,0,0,0,1,0,,0.43,,,,0,,, ,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,121,134,121.1,-0.1,0,,,,,59.9,52.1,-7.8,-0.13,689692,777424,87732,45.519672,52.864832,
"Congo, Rep.",LM,Sub-Saharan Africa,5.9,6.1,7.4,9.1,-1.3,-0.18,8.4,8.7,10.2,12.5,3.3,3.5,4.5,5.7,,4.86,4.93,4.71,4.46,4.34,4.12,3.5,3.25,3.13,2.84,2.42,0.74,0.17961165,82.6,,,,,0,0,0,,0.03,,,,0.45,,,,0.03,,,,0.11,,,0,0,,,0,0,1,1,0.92,0.93,-0.01,-0.01,,,,,1.05,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,,0,202.7,99,102.9,99.8,0.97,,,,,37.5,49.5,12,0.32,4386693,4995648,608955,324.615282,304.734528,0.824324324
Costa Rica,UM,Latin America & Caribbean,7.9,7.9,8.6,7.9,-0.7,-0.08,13.5,13.4,14.7,13.3,2.4,2.4,2.5,2.4,3.7,3.63,3.56,3.53,3.43,3.49,3.65,4.15,4.3,4.26,4.2,4.14,-0.02,-0.005479452,38,2.91,0.67,3291.21,757.77,0,1,1,,2.33,,,,3.92,,,,1.64,,,,1.79,,,0.04,0.82,0.04,0.75,1,1,1,1,0.77,1.88,-1.11,-0.59,,3.79,,,6.08,20.99,-14.91,-0.71,0,2,2,2,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,,0,0,,0,1286.5,1131,1031.2,255.3,0.25,5.227900028,4.293700218,-0.93419981,-18%,10,8.2,-1.8,-0.18,4545280,4807852,262572,390.89408,379.820308,0.918604651
Cote d'Ivoire,LM,Sub-Saharan Africa,14.5,14.4,12.7,11.2,1.7,0.13,20.6,20.5,18.3,16.3,8.3,8.2,6.9,5.9,,4.79,4.67,4.56,4.69,4.61,4.77,4.24,4.18,3.69,3.88,4.69,0.02,0.004192872,46.6,,,,,0,1,1,0.1,0.16,-0.06,-0.38,0.02,,,,0.05,0.05,0,0,,0.02,,,0.01,0.04,0.02,0.01,1,1,1,1,0.05,,,,0,,,,1.2,,,,,,,,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1964,1,0,1999,0,189.6,151.9,162,27.6,0.17,,,,,,,,,20401331,23108472,2707141,2590.969037,3327.619968,1.133858268
Croatia,H,Europe & Central Asia,16.5,17.8,18.6,20.2,-0.8,-0.04,25.6,26.8,28.4,31.1,7.9,9.4,9.4,10.1,10.32,9.89,10.64,11.64,11.92,12.43,12.11,12.07,12.3,12.28,11.84,11.58,-2.22,-0.183319571,46.3,,0.56,,903.112,1,1,1,,10.25,,,,35.56,,,,1.02,,,,2.9,,,0.16,3.38,0.41,,1,1,1,1,19.71,19.48,0.23,0.01,,,,,78.98,76.04,2.94,0.04,2,2,2,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,2010,0,1,,1,1656.4,1612.7,1601.7,54.7,0.03,8.777600288,9.294199944,0.516599655,6%,0.5,0.3,-0.2,-0.4,4417781,4203604,-214177,821.707266,748.241512,0.956989247
Cuba,UM,Latin America & Caribbean,13.9,13.7,14.4,13,-0.7,-0.05,22.1,21.8,22.7,19.4,5.8,5.6,6.1,6.5,4.59,4.6,4.48,4.32,4.15,4.15,4.1,4.04,4.28,4.13,4.19,4.49,0.5,0.12195122,43.4,,,,,1,1,1,10.26,10.85,-0.59,-0.05,29.45,29.6,-0.15,-0.01,8.63,3.05,5.58,1.83,,1.98,,,0.21,3.59,0.42,,1,1,1,1,10.22,10.27,-0.05,0,0,,,,56.59,58.06,-1.47,-0.03,2,2,2,2,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,,0,0,,0,2478.8,2236.2,2118.9,359.9,0.17,,,,,,,,,11333051,11461432,128381,1631.959344,1570.216184,0.951388889
Cyprus,H,Europe & Central Asia,5.3,4.9,5.7,2.6,-0.8,-0.14,8.2,7.3,8.7,3.7,2.3,2.5,2.7,1.5,,9.55,9.59,9.04,10.56,10.7,11.32,10.81,12.03,11.58,11.48,11.41,-1.77,-0.156360424,40.8,4.82,0.29,10685.458,642.901,1,1,1,2.69,6.82,-4.13,-0.61,20.55,42.17,-21.62,-0.51,0.17,,,,2.69,28.99,-26.3,-0.91,0.11,4.09,0.57,0.11,1,1,1,1,4.51,5.23,-0.72,-0.14,,0.34,,,10.49,16.26,-5.77,-0.35,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,2004,1,0,2013,1,2136.8,2216.9,2116.6,20.2,0.01,6.633900166,13.74510002,7.111199856,107%,0.1,0.4,0.3,3,1112607,1160985,48378,63.418599,56.888265,0.859649123
Czech Republic,H,Europe & Central Asia,13.1,13.7,15.4,16.5,-1.7,-0.11,21.4,22.6,26,27.6,5.1,5,5.2,6,12.99,12.82,13.06,12.84,12.97,12.61,12.65,13.31,13.35,13.35,13.12,13.26,0.17,0.013438735,55.9,2.91,,5852.01,,0,1,0,,11.85,,,,28.24,,,,0.9,,,,2.03,,,0.18,7.92,0.74,,1,1,1,1,11.73,13.41,-1.68,-0.13,,,,,82.37,91.64,-9.27,-0.1,2,2,2,2,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,2002,1,0,2014,1,2469.9,2011,1922.8,547.1,0.28,,,,,0,0,0,,10474410,10546059,71649,1613.05914,1444.810083,0.88961039
Democratic People's Republic of Korea,L,East Asia & Pacific,11.2,11.4,11.9,10.9,-0.5,-0.04,14.1,14.3,14.6,13,8.5,8.7,9.3,8.9,,3.35,3.35,3.35,3.61,3.39,3.12,3.35,3.16,3.13,3.28,3.2,0.23,0.073717949,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,, ,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,#DIV/0!,,,,,,,,,64523263,76196619,11673356,7678.268297,8686.414566,0.957983193
Democratic Republic of the Congo,L,Sub-Saharan Africa,5.7,5.6,5.5,6.1,0.1,0.02,8.4,8.3,8.2,8.9,2.9,2.9,2.9,3.4,,1.39,1.58,1.62,1.72,1.65,1.67,1.17,1.26,1.08,0.77,0.7,-0.28,-0.167664671,77.1,,,,,0,1,1,0.1,0.07,0.03,0.43,0.25,0.24,0.01,0.04,0.03,0.02,0.01,0.5,0.02,0.01,0.01,1,0.01,0,0,0,1,0,0,0,,,,,0,0,0,,0.43,0.74,-0.31,-0.42,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,34,22.2,24.1,9.9,0.41,,,,,,,,,24591599,25243917,652318,1352.537945,1413.659352,1.018181818
Denmark,H,Europe & Central Asia,12.8,11.9,12.7,16.2,-0.8,-0.06,17.3,15.5,16.8,21,8.2,8.4,8.7,11.4,9.55,9.38,9.53,9.43,9.1,10.22,10.24,10.09,10.71,11,11.02,11.27,-0.86,-0.083984375,40,,,,,1,1,1,9.57,14.12,-4.55,-0.32,60.02,,,,5.66,,,,12.78,,,,,,,,1,1,1,1,52.43,53.91,-1.48,-0.03,,,,,52.28,,,,,,,,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,0,0,,0,5083.2,4535.8,4480.5,602.7,0.13,4.294199944,5.196400166,0.902200222,21%,0,0,0,,5547683,5683483,135800,704.555741,676.334477,0.937007874
Djibouti,LM,Middle East & North Africa,6.7,6.4,5.2,5.9,1.2,0.23,9,8.6,6.8,7.5,4.3,4.1,3.5,4.3,0.36,0.37,0.34,0.52,0.47,0.51,0.5,0.49,0.45,0.46,1.02,1.23,-0.13,-0.26,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,6.77,,,,,,,,0,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,1,0,1995,0,146.7,128.2,108,38.7,0.36,,,,,,,,,851146,927414,76268,44.259592,59.354496,
Dominican Republic,UM,Latin America & Caribbean,9.9,9.7,8,8.2,1.7,0.21,16.8,16.2,13.1,13.3,3.1,3.1,3,3.2,5.5,6.14,6.02,6.03,6.02,6.01,6.12,6.15,6.21,6.14,6.3,5.79,0.02,0.003267974,46.1,0.61,,391.681,,1,1,0,1.08,1.33,-0.25,-0.19,1.29,,,,0.05,,,,3.99,3.27,0.72,0.22,0.01,0.58,0.01,0.01,1,1,1,1,0.52,0.53,-0.01,-0.02,0,0.02,-0.02,-1,1.24,2.57,-1.33,-0.52,1,2,0,2,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,,0,0,,0,873.1,642.1,608.4,264.7,0.44,3.535000086,7.152299881,3.617299795,102%,11.4,8.7,-2.7,-0.24,9897985,10528394,630409,791.8388,1021.254218,1.2125
Ecuador,UM,Latin America & Caribbean,7.1,9.6,8.5,8.9,1.1,0.13,10.3,14.3,12.3,12.7,3.9,4.9,4.8,5.1,3.17,3.67,3.8,3.78,3.92,4,3.96,3.88,3.77,3.64,3.54,3.56,-0.29,-0.073232323,45.8,1.2,0.59,924.96,454.772,0,1,0,1.09,1,0.09,0.09,0.96,0.91,0.05,0.05,0.54,0.38,0.16,0.42,2.53,1.29,1.24,0.96,0.04,0.26,,,1,1,1,1,0.03,0.36,-0.33,-0.92,,0.5,,,9.29,11.87,-2.58,-0.22,0,2,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,,0,0,,0,980.2,770.8,688.9,291.3,0.42,5.918799877,5.710199833,-0.208600044,-4%,19.5,15.3,-4.2,-0.22,14934690,16144368,1209678,1269.44865,1549.859328,1.129411765
Egypt,LM,Middle East & North Africa,4,3.8,3.6,3.4,0.2,0.06,6.4,6,5.7,5.3,1.5,1.5,1.5,1.5,0.18,0.18,0.2,0.2,0.2,0.2,0.21,0.2,0.23,0.2,0.18,0.16,-0.03,-0.142857143,18.5,2.29,,1030.729,,1,1,1,0.69,0.54,0.15,0.28,3.1,2.08,1.02,0.49,0.29,0.23,0.06,0.26,0.12,0.13,-0.01,-0.08,0.04,0.11,0,,1,1,0,1,,0.47,,,,,,,6.56,9.4,-2.84,-0.3,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1956,1,0,1976,0,495.2,450.1,421.6,73.6,0.17,,,,,,,,,84107606,93778172,9670566,3027.873816,3563.570536,1.055555556
El Salvador,LM,Latin America & Caribbean,13.7,14,10.8,9.9,3.2,0.3,24.2,24.5,18.1,15.8,4.5,4.6,4.2,4.6,2.68,2.57,2.47,2.36,2.42,2.31,2.29,2.48,2.59,2.73,2.66,2.67,0.28,0.122270742,34.8,,,,,0,0,1,,0.16,,,,0.48,,,,0.05,,,,0.08,,,0.02,0.16,0,,1,1,0,1,0.19,,,,,,,,6.03,0.68,5.35,7.87,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,,0,0,,0,578.5,505.7,494.5,84,0.17,5.474999905,5.013199806,-0.461800098,-8%,14.6,10.5,-4.1,-0.28,6164626,6312478,147852,665.779608,883.74692,1.296296296
Equatorial Guinea,UM,Sub-Saharan Africa,16.4,16.5,16.7,13.7,-0.2,-0.01,23.5,23.8,24.9,20.4,7.7,7.6,7,6.1,,9.85,10.23,10.16,11.65,10.78,9.76,7.89,8.28,6.81,7.23,7.15,0.09,0.009221311,88.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,, ,,,,,,,,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,2000,1,0,2005,0,789.6,463.5,506.2,283.4,0.56,,,,,,,,,951104,1175389,224285,158.834368,193.939185,
Eritrea,L,Sub-Saharan Africa,7.9,8.1,9,10.4,-0.9,-0.1,12.3,12.5,13.8,15.4,3.6,3.7,4.1,5.5,,,,,,0.62,0.61,0.47,0.17,1.23,0.97,1.07,,,42.9,1.91,0.73,97.792,37.376,0,0,0,0,0,0,,0.99,1.07,-0.08,-0.07,0.02,0.02,0,0,0.05,0.04,0.01,0.25,0.02,0.06,0,0,1,1,0,0,,,,,3.06,0,3.06,,2.45,3.06,-0.61,-0.2,,,,,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,,0,0,,0,56.2,51.2,51,5.2,0.1,,,,,,,,,4390840,"4,846,976","456,136",395.1756,392.605056,0.9
Estonia,H,Europe & Central Asia,17.8,15.8,18.3,22.5,-2.5,-0.14,30.6,27.6,31.7,39,6.6,5.3,6.6,8.3,15.35,16.64,17.29,17.75,16.96,16.27,14.97,14.32,16.38,17.37,15.83,14.7,1.67,0.111556446,57.4,5.78,0.3,8259.62,428.7,1,0,1,13.87,13.5,0.37,0.03,21.42,,,,1.71,,,,7.79,,,,0.37,,0.22,,1,1,1,1,47.05,,,,0,,,,7.71,,,,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,2014,0,1,,1,1886.8,1429,1369.7,517.1,0.38,7.802499771,4.218900204,-3.583599567,-46%,7.2,4.7,-2.5,-0.35,1331475,1315407,-16068,243.659925,207.834306,0.863387978
Eswatini,LM,Sub-Saharan Africa,13.3,13.1,11.9,12,1.2,0.1,19.5,19.3,18.2,18.9,7.5,7.2,6,5.6,,7.38,7.46,6.53,5.54,5.95,5.65,5.63,5.62,6.32,6.24,5.03,1.73,0.30619469,60,,,,,1,0,0,,0.17,,,,4.66,,,,0.17,,,,0.25,,,0.08,0,0.83,0,1,0,1,0,0,0,0,,0,0,0,,15.15,12.48,2.67,0.21,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,,0,0,,0,628.9,615.1,614.3,14.6,0.02,,,,,20.1,21,0.9,0.04,1202843,1319011,116168,143.138317,172.790441,1.100840336
Ethiopia,L,Sub-Saharan Africa,7.2,7.2,7.3,7.9,-0.1,-0.01,11.2,11.2,11.3,12.1,3.1,3.2,3.3,3.7,,1.43,1.43,1.43,1.4,0.86,0.88,0.77,0.44,0.75,0.83,0.65,0.55,0.625,45.2,,0.85,,44.54,0,0,0,,0.04,,,,0.59,,,,0,,,,0.02,,,0,0.07,0,0,0,1,0,0,0.06,0.04,0.02,0.5,0.21,0.2,0.01,0.05,0.31,0.35,-0.04,-0.11,,,,,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,,0,0,,0,65.6,52.4,57.9,7.7,0.13,,,,,,,,,87702670,99873033,12170363,6402.29491,7190.858376,0.98630137
Fiji,UM,East Asia & Pacific,5,5,4.8,3.5,0.2,0.04,7.5,7.5,7.2,4.5,2.4,2.4,2.4,2.4,,2.21,2.32,2.3,2.24,2.13,2.25,2.32,1.96,2.1,2.07,2.02,-0.04,-0.017777778,62.4,1.9,1,484.31,254.9,1,0,0,,0.23,,,,4.1,,,,0,,,,0,,,0.12,0.12,0,0,1,1,0,0,2.26,0.12,2.14,17.83,0,0,0,,2.39,15.92,-13.53,-0.85,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,,0,331.4,254.9,266.6,64.8,0.24,,,,,,,,,859950,892149,32199,41.2776,44.60745,
Finland,H,Europe & Central Asia,15.9,14.4,18.9,20.4,-4.5,-0.24,23.9,21.8,28.4,29.6,8.1,7.2,9.8,11.5,8.43,8.51,8.75,9.07,9.27,9.81,9.72,9.96,10.26,10.45,10.15,9.95,-1.21,-0.124485597,39,3.86,,14052.716,,1,1,1,18.37,28.06,-9.69,-0.35,,,,,,,,,56.95,,,,0.04,2.62,,9.02,1,1,1,1,48.61,67.34,-18.73,-0.28,142.08,133.94,8.14,0.06,19.88,8.42,11.46,1.36,2,2,1,2,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,2003,1,0,2015,1,3996.4,3640.6,3442.2,554.2,0.16,4.257900238,5.662099838,1.4041996,33%,0,0,0,,5363352,5479531,116179,1013.673528,789.052464,0.761904762
