Country,Class,Region,SR_2016,SR_2015,SR_2010,SR_2005,SR_CHG_1015,SR_p_CHG,M_2016,M_2015,M_2010,M_2005,F_2016,F_2015,F_2010,F_2005,Alc_2016,Alc_2015,Alc_2014,Alc_2013,Alc_2012,Alc_2011,Alc_2010,Alc_2009,Alc_2008,Alc_2007,Alc_2006,Alc_2005,Alc_Chg_1015,Alc_p_Chg,Heavy_ttl_2016,govt_exp_mental/health_2011,govt_exp_hosp/health_2011,govt_exp_mh,govt_exp_hosp,mh_legis,mh_plan,mh_policy,psychiatrist_2014,psychiatrist_2011,psychiatrist_chg,psychiatrist_p_chg,nurse_2014,nurse_2011,nurse_chg,nurse_p_chg,sowork_2014,sowork_2011,sowork_chg,sowork_p_chg,psychologist_2014,psychologist_2011,psychologist_chg,psychologist_p_chg,hosp_2011,outpatientfac_2011,daytreat_2011,communityres_2011,b_hosp_2011,b_outpatientfac_2011,b_daytreat_2011,b_communityres_2011,beds_gen_hosp_2014,beds_gen_hosp_2011,beds_gen_hosp_chg,beds_gen_hosp_p_chg,beds_comm_res_2014,beds_comm_res_2011,beds_comm_res_chg,beds_comm_res_p_chg,beds_mh_2014,beds_mh_2011,beds_mh_chg,beds_mh_p_chg,child_abuse_pgm_12-14,youth_viol_pvn_12-14,dom_abuse_12-14,sen_abuse_12-14,conf_alc_disorder_2014,conf_drug_disorder_2014,awr_binge_drinking,awr_dom_viol,awr_eld,awr_hiv,awr_work/sprts,awr_dd,awr_illalc,awr_indig,awr_preg,awr_harmother,awr_youthdrink,treat_sub_alt,treat_sub_add,treat_alc_alt,treat_alc_add,alc_policy_writ,alc_policy_before,alc_policy_during,alc_policy_rev,alc_policy_rev/add_during,che_2015,che_2011,che_2010,che_chg,che_p_chg,unemp_adv_2010,unemp_adv_2015,unemp_chg,unemp_p_chg,risk_impov_hc_2010,risk_impov_hc_2015,risk_impov_hc_chg,risk_impov_hc_p_chg,pop_2010,pop_2015,chg_pop,SR_act_2010,SR_act_2015,std_sr
France,H,Europe & Central Asia,17.7,18,20.2,21.1,-2.2,-0.11,23.9,24.4,27.7,29,11.7,11.8,13,13.5,11.74,11.87,11.97,11.64,12.24,12.37,12.33,12.3,12.3,12.6,12.4,12.6,-0.46,-0.03730738,41.5,12.91,,52155.109,,1,1,1,14.12,22.35,-8.23,-0.37,90.86,86.21,4.65,0.05,0,3.83,-3.83,-1,10.77,47.9,-37.13,-0.78,0.6,5.75,3.5,12.76,1,1,1,1,,22.72,,,0,,,,89.65,71.81,17.84,0.25,,,,,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,2008,1,0,2013,1,4542.3,4039.9,3881.4,660.9,0.17,5.26429987,6.083799839,0.819499969,16%,0,0,0,,65027507,66593366,1565859,13135.55641,11986.80588,0.891089109
Gabon,UM,Sub-Saharan Africa,7.1,7.3,6.9,6.1,0.4,0.06,10.7,11.1,10.5,9.2,3.2,3.3,3.1,3.1,,9.54,9.54,8.7,8.27,8.65,8.86,8.61,8.73,8.99,7.98,7.68,0.68,0.076749436,86.2,0.62,1,252.03,406.5,0,0,0,,0.27,,,,1,,,,0.07,,,,0.13,,,0.07,0.13,0,0,1,1,0,0,,0,,,,0,,, ,7.99,,,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,,0,0,,0,480.9,406.5,372.5,108.4,0.29,,,,,11.5,9.7,-1.8,-0.16,1640210,1930175,289965,113.17449,140.902775,1.057971014
Gambia,L,Sub-Saharan Africa,5.1,5.2,5.1,5.7,0.1,0.02,6.6,6.7,6.7,7.1,3.7,3.8,3.6,4.3,,2.96,2.94,2.89,2.97,2.92,3.06,3.05,2.98,3.18,3.24,3.3,-0.1,-0.032679739,38.1,,,,,1,1,1,0.11,0.17,-0.06,-0.35,0.58,0.57,0.01,0.02,0,0,0,,0.05,0,0.05,,0.06,1.6,0,0,1,1,0,0,0,0,0,,0,0,0,,5.24,5.71,-0.47,-0.08,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,114.1,95.2,93,21.1,0.23,,,,,,,,,1692149,1977590,285441,86.299599,102.83468,1.019607843
Georgia,LM,Europe & Central Asia,8.2,8.1,6.9,5,1.2,0.17,14.2,14,11.8,8.2,2.7,2.7,2.3,2,7.44,7.44,7.23,7.06,7.59,8.68,8.1,6.88,8.05,7.64,6.29,4.7,-0.66,-0.081481481,47,2.83,0.71,1613.949,404.913,1,0,0,5.85,6.87,-1.02,-0.15,5.6,7.68,-2.08,-0.27,0.3,,,,0.65,,,,0.14,0.47,0.07,0,1,1,1,0,2.31,0.71,1.6,2.25,0,0,0,,32.32,28.44,3.88,0.14,1,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2015,0,0,,0,717.7,570.3,584.3,133.4,0.23,20.5,13.60999966,-6.890000343,-34%,,,,,3926000,3717100,-208900,270.894,301.0851,1.173913043
Germany,H,Europe & Central Asia,13.6,13.8,13.7,13.6,0.1,0.01,19.7,19.9,20.6,20.4,7.7,7.8,7,7.2,10.9,11.99,11.6,11.67,11.76,11.87,11.35,11.61,11.75,11.89,12.14,12.04,0.64,0.056387665,43.1,11,,50473.5,,1,1,1,,15.23,,,,56.06,,,,,,,,,,,0.33,30.32,0.61,,1,1,1,1,33.96,41.08,-7.12,-0.17,,,,,52.15,47.62,4.53,0.1,2,2,2,2,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,2003,1,0,2012,1,5356.8,4588.5,4413,943.8,0.21,3.239300013,2.539999962,-0.699300051,-22%,0,0,0,,81776930,81686611,-90319,11203.43941,11272.75232,1.00729927
Ghana,LM,Sub-Saharan Africa,5.4,5.3,4.7,4.3,0.6,0.13,8.7,8.5,7.5,6.7,2.1,2.1,2.1,1.9,,1.56,1.56,1.6,1.79,1.86,1.94,1.92,2.18,1.39,1.96,1.81,-0.38,-0.195876289,36.2,2,,414.8,,1,1,1,0.06,0.07,-0.01,-0.14,7.34,2.47,4.87,1.97,0.05,0.02,0.03,1.5,0.03,0.04,-0.01,-0.25,0.02,0.16,0.01,0.01,1,1,1,1,0.15,0.33,-0.18,-0.55,0.15,0.1,0.05,0.5,5.67,6.16,-0.49,-0.08,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,2016,0,0,,0,249.3,207.4,195.4,53.9,0.28,,,,,27,21.9,-5.1,-0.19,24512104,27582821,3070717,1152.068888,1461.889513,1.127659574
Greece,H,Europe & Central Asia,5,4.8,3.3,3.5,1.5,0.45,8.1,7.8,6,5.7,2,1.9,0.7,1.4,6.52,6.64,6.99,7.52,7.62,8.03,8.99,9.07,9.52,9.7,9.47,10.03,-2.35,-0.261401557,36.1,4.43,,10518.149,,1,1,1,14.09,12.88,1.21,0.09,50.57,,,,6.92,,,,12.13,26.83,-14.7,-0.55,0.08,1.32,0.4,1.31,1,1,1,1,7.44,5.1,2.34,0.46,38.7,,,,4.94,19,-14.06,-0.74,,,,,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,,0,0,,0,2204.4,2374.3,2696.9,-492.5,-0.18,12.95170021,23.14279938,10.19109917,79%,0.1,0.5,0.4,4,11121341,10820883,-300458,367.004253,519.402384,1.454545455
Grenada,UM,Latin America & Caribbean,1.7,1.1,0.9,2.7,0.2,0.22,1.5,1,1.8,4.9,1.9,1.1,0,0.6,8.88,8.67,8.47,8.37,8.28,8.11,8.18,8.42,8.92,9.04,9.05,8.79,0.49,0.0599022,50.8,,,,,1,0,0,1.88,1.92,-0.04,-0.02,63.97,15.33,48.64,3.17,2.82,2.88,-0.06,-0.02,0,0,0,,0.96,4.79,,0,1,1,1,0,18.81,19.17,-0.36,-0.02,0,0,0,,75.26,76.67,-1.41,-0.02,,,,,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,,0,0,,0,677.5,684.7,671.4,6.1,0.01,,,,,,,,,104677,106823,2146,0.942093,1.175053,
Guatemala,UM,Latin America & Caribbean,2.7,3.1,2.9,3.2,0.2,0.07,3.7,4.3,4.3,4.6,1.8,1.9,1.5,1.8,1.62,1.62,1.65,1.81,1.9,2.02,1.99,2,2.06,2.24,2.22,2.2,-0.37,-0.185929648,35,1.46,0.94,616.85,397.15,0,1,1,0.29,0.59,-0.3,-0.51,1.31,1.39,-0.08,-0.06,0.07,0.14,-0.07,-0.5,0.53,6.89,-6.36,-0.92,0.02,0.28,0.01,0.08,1,1,1,1,0.01,0.06,-0.05,-0.83,1.01,1.11,-0.1,-0.09,2.3,2.57,-0.27,-0.11,0,2,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,,0,0,,0,443.9,422.5,421.7,22.2,0.05,3.653399944,1.529500008,-2.123899937,-58%,29,20.5,-8.5,-0.29,14630417,16252429,1622012,424.282093,503.825299,1.068965517
Guinea,L,Sub-Saharan Africa,6.3,6.4,6.6,6.8,-0.2,-0.03,7.5,7.6,8.1,8.3,5,5.2,5.1,5.4,,0.34,0.28,0.22,0.22,0.22,0.2,0.18,0.2,0.19,0.16,0.2,0.14,0.7,33.4,,,,,0,1,1,,0.03,,,,0.07,,,,0,,,,0,,,0,0,0.02,0,0,0,1,0,0.52,0.79,-0.27,-0.34,0.15,0,0.15,,0.76,0,0.76,,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,57.2,61.6,52,5.2,0.1,,,,,66.9,57.6,-9.3,-0.14,10794170,12091533,1297363,712.41522,773.858112,0.96969697
Guinea-Bissau,L,Sub-Saharan Africa,4,3.9,4.2,4.4,-0.3,-0.07,4.7,4.6,4.9,5,3.3,3.3,3.4,3.9,,2.81,2.8,2.69,2.83,2.96,2.83,2.73,2.84,3.03,3.26,3.46,-0.02,-0.007067138,39.5,,,,,0,0,0,,0,,,,0.61,,,,0,,,,0.06,,,0,0.06,0,0,0,1,0,0,,0,,,,0,,, ,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,100.3,80.1,84.2,16.1,0.19,,,,,66.6,68.8,2.2,0.03,1555880,1770526,214646,65.34696,69.050514,0.928571429
Guyana,UM,Latin America & Caribbean,29.2,29.1,26.8,24.4,2.3,0.09,43.7,43.4,39.9,35.9,14.4,14.5,13.6,12.8,5.31,4.75,5.2,5.11,5.13,5.11,5.08,5.08,5.02,5.09,4.99,5.22,-0.33,-0.06496063,45.7,1.35,0.59,406.755,177.767,1,1,1,0.5,0.53,-0.03,-0.06,,0.39,,,0.37,0.39,-0.02,-0.05,0,0,0,,0.13,0.26,0,0,1,1,0,0,2.49,0.53,1.96,3.7,0,0,0,,24.89,31.52,-6.63,-0.21,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,,0,336.1,301.3,265.6,70.5,0.27,,,,,,,,,746556,768514,21958,200.077008,223.637574,
Haiti,L,Latin America & Caribbean,11.7,11.7,10.2,9.5,1.5,0.15,17,17,14.8,14.1,6.5,6.5,5.7,5,,5.81,5.81,5.81,5.81,5.71,5.77,5.9,6,6.15,6.26,5.34,0.04,0.006932409,44.1,0.61,,101.382,,0,0,0,0.07,0.2,-0.13,-0.65,0.29,0.26,0.03,0.12,0.06,0,0.06,,0.07,0.04,0.03,0.75,0.02,0.02,0,0,1,1,0,0,0,0,0,,0,0,0,,1.72,1.77,-0.05,-0.03,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,120.1,166.2,150.4,-30.3,-0.2,,,,,,,,,9999617,10711061,711444,1019.960934,1253.194137,1.147058824
Honduras,LM,Latin America & Caribbean,2.9,2.8,2.5,2.5,0.3,0.12,4.4,4.2,3.6,3.6,1.5,1.5,1.3,1.4,2.86,2.84,2.64,2.92,2.92,2.94,2.91,2.97,3.05,3.12,3.23,3.23,-0.07,-0.024054983,37.3,1.61,0.88,497.812,272.096,0,0,1,0.38,0.77,-0.39,-0.51,2.14,2.44,-0.3,-0.12,1.17,0.28,0.89,3.18,0.69,0.74,-0.05,-0.07,0.03,,0.01,,1,1,1,1,0.06,0.03,0.03,1,,,,,4.03,4.65,-0.62,-0.13,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,0,0,,0,353.4,309.2,320.1,33.3,0.1,7.245399952,8.220299721,0.974899769,13%,41.1,33.4,-7.7,-0.19,8194778,8960829,766051,204.86945,250.903212,1.12
Hungary,H,Europe & Central Asia,19.1,20.3,26,26.7,-5.7,-0.22,29.7,31.6,42.1,43.1,9.6,10.1,11.4,11.8,,10.9,10.88,10.7,11.14,11.35,10.75,11.46,11.64,12.55,13.16,12.94,0.15,0.013953488,50.3,5.1,,8774.55,,0,1,0,,6.52,,,,21.93,,,,2.98,,,2.59,2.47,0.12,0.05,0.03,8.01,0.29,,1,1,1,1,74.57,72.21,2.36,0.03,0,,,,0,2.83,-2.83,-1,,,,,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,,0,1912.1,1720.5,1620.2,291.9,0.18,4.295599937,2.601500034,-1.694099903,-39%,0.9,1,0.1,0.11,10000023,9843028,-156995,2600.00598,1998.134684,0.780769231
Iceland,H,Europe & Central Asia,14,14,13.3,12.2,0.7,0.05,22.3,22.3,20.5,15.9,5.6,5.7,6,8.5,7.5,7.66,7.01,6.8,6.82,6.84,6.79,7.24,7.19,7.53,7.2,7.05,0.87,0.128129602,39.2,8.69,0.53,29637.245,1807.565,0,1,0,,19.74,,,,37.96,,,,10.63,,,,31.89,,,,2.73,2.13,17.31,1,1,1,1,43.53,42.82,0.71,0.02,155.19,119.66,35.53,0.3,0,,,,2,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,2011,0,1,2014,1,4116.2,3410.5,3383.7,732.5,0.22,2.986999989,3.247100115,0.260100126,9%,0.2,0.1,-0.1,-0.5,318041,330815,12774,42.299453,46.3141,
India,LM,South Asia,16.3,16.5,16.5,17.6,0,0,17.8,18,17.7,18.1,14.7,14.9,15.2,17.1,3.04,3,3.02,3.05,3.06,2.96,2.74,2.47,1.91,1.57,1.35,1.26,0.26,0.094890511,44.4,,,,,1,1,0,0.3,0.3,0,0,0.12,0.17,-0.05,-0.29,0.07,0.03,0.04,1.33,0.07,0.05,0.02,0.4,0,0.33,0,0,0,1,0,0,,0.82,,,,0,,,2.05,1.47,0.58,0.39,1,2,1,2,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,,0,0,,0,237.7,150.5,145.6,92.1,0.63,,,,,,,,,1230980691,1309053980,78073289,203111.814,215993.9067,1
Indonesia,LM,East Asia & Pacific,3.4,3.4,3.6,3.8,-0.2,-0.06,4.8,4.8,5.1,5.3,2,2,2.2,2.3,0.29,0.28,0.28,0.28,0.1,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.19,2.111111111,28.6,,,,,0,1,1,0.29,0.01,0.28,28,2.57,,,,0.05,,,,0.18,,,,0.02,,,,1,1,1,1,,,,,,,,,3.96,3.31,0.65,0.2,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1997,1,0,2014,1,369.3,295.4,285.3,84,0.29,11.55370045,6.239200115,-5.314500332,-46%,,,,,242524123,258162113,15637990,8730.868428,8777.511842,0.944444444
Iran (Islamic Republic of),UM,Middle East & North Africa,4.1,4,6.6,10.7,-2.6,-0.39,5,5,8.7,13.1,3.1,3,4.4,8.2,,0.01,0.01,0.01,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.01,-0.02,-0.666666667,4.1,3.6,0.17,4305.6,203.32,1,1,1,1.76,1.49,0.27,0.18,8.84,7.46,1.38,0.18,0.72,0.67,0.05,0.07,5.07,2.19,2.88,1.32,0.05,1.43,0.12,0.11,1,1,1,1,2.21,1.98,0.23,0.12,6.68,5.79,0.89,0.15,7.52,7.33,0.19,0.03,1,2,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,,0,0,,0,1261.7,1196,1201,60.7,0.05,,,,,,,,,74567511,79360487,4792976,4921.455726,3174.41948,0.606060606
Iraq,UM,Middle East & North Africa,3,3.1,2.8,2.5,0.3,0.11,3.4,3.5,3.3,3.1,2.6,2.6,2.2,1.9,,0.17,0.17,0.17,0.19,0.18,0.19,0.2,0.17,0.15,0.03,0.18,-0.02,-0.105263158,20.1,,,,,1,1,0,0.37,0.27,0.1,0.37,1.46,0.89,0.57,0.64,0.22,0.1,0.12,1.2,0.09,0.15,-0.06,-0.4,0.01,0.11,0,0,1,1,0,0,1.26,1.11,0.15,0.14,0,,,,3.86,4.26,-0.4,-0.09,1,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,,0,0,,0,481,370.2,402.5,78.5,0.2,,,,,,,,,30762701,36115649,5352948,861.355628,1119.585119,1.107142857
Ireland,H,Europe & Central Asia,11.5,11.5,12,11.9,-0.5,-0.04,18.5,18.5,18.5,18.8,4.6,4.5,5.6,4.9,11.46,10.93,11,10.64,11.53,11.65,11.63,11.27,12.42,13.37,13.38,13.42,-0.7,-0.060189166,46.5,,,,,1,1,1,,6.06,,,,112.83,,,,3.84,,,,3.53,,,0.78,,,,1,1,1,1,,19.61,,,,61.02,,, ,54.48,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1996,1,0,2013,1,5334.9,4524.1,4566.8,768.1,0.17,8.003000259,5.90500021,-2.09800005,-26%,0,0,0,,4560155,4701957,141802,547.2186,540.725055,0.958333333
Israel,H,Middle East & North Africa,5.4,5,7.3,7.6,-2.3,-0.32,8.1,7.6,12,11,2.7,2.4,2.7,4.2,2.64,2.61,2.71,2.86,2.81,2.66,2.63,2.56,2.48,2.34,2.23,2.41,-0.02,-0.007604563,31.1,,,,,1,1,1,11.57,8.24,3.33,0.4,11.63,,,,,,,,,,,,0.19,1.24,0.3,3.54,1,1,1,1,3.36,4.54,-1.18,-0.26,44.11,225.06,-180.95,-0.8,40.42,42.83,-2.41,-0.06,1,2,2,2,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,2009,1,0,2014,1,2819.1,2194.4,2087.7,731.4,0.35,,,,,1.4,1,-0.4,-0.29,7623600,8380100,756500,556.5228,419.005,0.684931507
Italy,H,Europe & Central Asia,8.2,8,7.5,7,0.5,0.07,12.1,11.8,11.4,10.3,4.5,4.5,3.8,3.9,7.08,7.14,7.56,7.35,7.48,6.98,6.95,6.4,6.84,7.19,7.26,7.41,0.19,0.027338129,32.6,5,,16059.5,,1,1,1,10.85,7.81,3.04,0.39,27.57,19.28,8.29,0.43,2.43,1.93,0.5,0.26,3.52,2.58,0.94,0.36,0,1.43,1.34,2.71,0,1,1,1,9.55,10.95,-1.4,-0.13,33.44,46.41,-12.97,-0.28,1.47,0,1.47,,1,2,2,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,2001,1,0,2007,0,3350.6,3211.9,3145.2,205.4,0.07,6.847099781,8.495900154,1.648800373,24%,0.1,0.1,0,0,59277417,60730582,1453165,4445.806275,4858.44656,1.066666667
Jamaica,UM,Latin America & Caribbean,2.2,2.1,2,1.9,0.1,0.05,3.3,3.3,3.1,3,1,1,0.9,0.8,3.44,3.33,3.28,3.27,3.15,3.09,3.06,2.84,2.94,2.99,3.02,3.08,0.27,0.088235294,40.8,6.04,0.8,2681.76,355.2,1,1,1,1.11,1.1,0.01,0.01,8.9,5.71,3.19,0.56,0.57,0.59,-0.02,-0.03,0.43,0.33,0.1,0.3,0.29,5.09,0.33,0.48,1,1,1,1,1.79,2.93,-1.14,-0.39,,16.12,,,28.58,14.65,13.93,0.95,2,2,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,,0,0,,0,511.4,444,421.3,90.1,0.21,,,,,11.8,10.6,-1.2,-0.1,2817210,2871934,54724,56.3442,60.310614,1.05
Japan,H,East Asia & Pacific,18.5,19.4,24.4,24.9,-5,-0.2,26,27.4,35.1,36.8,11.4,11.8,14.1,13.6,,6.86,6.71,6.95,6.83,6.86,6.88,6.98,7.06,7.28,7.48,7.99,-0.02,-0.002906977,40,4.94,0.76,18664.308,2871.432,1,1,1,,10.1,,,,102.55,,,,6.06,,,,3.99,,,0.84,2.31,1.05,1.57,1,1,1,1,69.16,73.12,-3.96,-0.05,15.3,16.23,-0.93,-0.06,200.29,204.4,-4.11,-0.02,2,0,0,2,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,2014,0,1,,1,4405.1,3778.2,3192.5,1212.6,0.38,3.930000067,2.630000114,-1.299999952,-33%,0,0,0,,128070000,127141000,-929000,31249.08,24665.354,0.795081967
Jordan,UM,Middle East & North Africa,2.9,2.9,2.8,3.1,0.1,0.04,3.6,3.6,3.5,3.8,2.2,2.2,2.1,2.3,0.38,0.37,0.43,0.41,0.43,0.44,0.52,0.59,0.61,0.59,0.58,0.55,-0.15,-0.288461538,19.8,,,,,0,0,0,0.51,1.08,-0.57,-0.53,4.72,4.03,0.69,0.17,0.16,0.25,-0.09,-0.36,0.27,0.17,0.1,0.59,0.03,0.99,0.02,0.02,1,1,1,1,0.6,,,,,2.32,,,6.93,5.1,1.83,0.36,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,0,0,,0,568.1,768.5,778.8,-210.7,-0.27,,,,,6.2,7.1,0.9,0.15,7182390,9159302,1976912,201.10692,265.619758,1.035714286
Kazakhstan,UM,Europe & Central Asia,22.5,24.9,32.7,39.4,-7.8,-0.24,38.3,42.5,55.7,68.4,7.6,8.4,11.2,12.4,5.8,5.92,6.06,6.26,6.48,6.35,6.59,6.44,7.4,7.26,6.91,6.73,-0.67,-0.101669196,49.2,,,,,1,0,0,,6.26,,,,,,,,,,,,0.29,,,0.2,0.2,0.1,0,1,1,1,0,,1.74,,,,0,,, ,61.32,,,2,2,2,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1999,1,0,2015,1,903.3,719.9,790,113.3,0.14,,,,,0.9,0.3,-0.6,-0.67,16321872,17542806,1220934,5337.252144,4368.158694,0.76146789
Kenya,LM,Sub-Saharan Africa,3.2,3.1,3.1,3.9,0,0,5.1,5,5,6.2,1.2,1.2,1.2,1.6,,1.86,1.77,2.06,1.96,1.95,1.84,2.04,1.79,2.2,1.96,1.49,0.02,0.010869565,46,,,,,1,1,0,,0.19,,,,,,,,0.01,,,,,,,,,,,1,1,1,1,1.1,,,,,,,,1.65,,,,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,0,0,,0,157.2,141.8,155.3,1.9,0.01,,,,,54.5,49.5,-5,-0.09,41350152,47236259,5886107,1281.854712,1464.324029,1
Kiribati,LM,East Asia & Pacific,14.4,14.5,14.5,13.9,0,0,24.1,24.2,24,22.4,5,5,5.4,5.7,,0.36,0.36,0.36,0.37,0.55,0.49,0.56,0.48,0.7,0.79,0.6,-0.13,-0.265306122,57.9,,,,,1,0,0,,1,,,,6.03,,,,0,,,,0,,,1,1,0,0,1,1,0,0,,0,,,,0,,, ,60.27,,,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,,0,0,,0,151.8,150.1,158.9,-7.1,-0.04,,,,,,,,,102652,112407,9755,14.88454,16.299015,
Kuwait,H,Middle East & North Africa,2.3,2.3,1.9,2.3,0.4,0.21,2.8,2.8,2.2,2.9,1.7,1.8,1.5,1.5,,0.01,0.01,0.01,0.01,0.02,0.01,0.1,0.03,0.03,0.01,0.01,0,0,4.1,,,,,0,1,1,3.33,2.62,0.71,0.27,19.23,13.77,5.46,0.4,0.35,0.66,-0.31,-0.47,2.1,2.29,-0.19,-0.08,0.03,0.82,0.03,,1,1,1,1,,0,,,,,,,17.24,32.78,-15.54,-0.47,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,0,0,,0,2977.5,2027.8,2032,945.5,0.47,,,,,,,,,2998083,3935794,937711,56.963577,90.523262,1.210526316
